step time Total Potential Kinetic Kinetic_1 Kinetic_2 Kinetic_3
169 0.169 -0.0326647 -0.0656454 0.0329808 4.23355e-05 0.0196955 0.013243
170 0.17 -0.0326628 -0.0656437 0.0329808 4.27921e-05 0.0196945 0.0132435
171 0.171 -0.032661 -0.0656419 0.0329809 4.32504e-05 0.0196936 0.0132441
172 0.172 -0.0326591 -0.0656401 0.0329809 4.37103e-05 0.0196926 0.0132446
173 0.173 -0.0326573 -0.0656382 0.0329809 4.41718e-05 0.0196916 0.0132451
174 0.174 -0.0326555 -0.0656364 0.032981 4.4635e-05 0.0196907 0.0132457
175 0.175 -0.0326536 -0.0656346 0.032981 4.50997e-05 0.0196897 0.0132462
176 0.176 -0.0326518 -0.0656328 0.032981 4.5566e-05 0.0196887 0.0132467
177 0.177 -0.03265 -0.065631 0.032981 4.60339e-05 0.0196877 0.0132473
178 0.178 -0.0326481 -0.0656291 0.032981 4.65033e-05 0.0196867 0.0132478
179 0.179 -0.0326463 -0.0656273 0.032981 4.69743e-05 0.0196857 0.0132483
180 0.18 -0.0326444 -0.0656254 0.032981 4.74468e-05 0.0196847 0.0132488
181 0.181 -0.0326426 -0.0656236 0.032981 4.79207e-05 0.0196837 0.0132494
182 0.182 -0.0326408 -0.0656217 0.032981 4.83961e-05 0.0196827 0.0132499
183 0.183 -0.0326389 -0.0656199 0.0329809 4.8873e-05 0.0196817 0.0132504
184 0.184 -0.0326371 -0.065618 0.0329809 4.93514e-05 0.0196806 0.0132509
185 0.185 -0.0326353 -0.0656161 0.0329809 4.98312e-05 0.0196796 0.0132514
186 0.186 -0.0326334 -0.0656143 0.0329808 5.03123e-05 0.0196786 0.0132519
187 0.187 -0.0326316 -0.0656124 0.0329808 5.07949e-05 0.0196775 0.0132524
188 0.188 -0.0326298 -0.0656105 0.0329807 5.12788e-05 0.0196765 0.013253
189 0.189 -0.0326279 -0.0656086 0.0329806 5.17641e-05 0.0196754 0.0132535
190 0.19 -0.0326261 -0.0656067 0.0329806 5.22508e-05 0.0196744 0.013254
191 0.191 -0.0326243 -0.0656048 0.0329805 5.27387e-05 0.0196733 0.0132545
192 0.192 -0.0326224 -0.0656028 0.0329804 5.3228e-05 0.0196722 0.013255
193 0.193 -0.0326206 -0.0656009 0.0329803 5.37186e-05 0.0196712 0.0132554
194 0.194 -0.0326188 -0.065599 0.0329802 5.42104e-05 0.0196701 0.0132559
195 0.195 -0.0326169 -0.0655971 0.0329801 5.47035e-05 0.019669 0.0132564
196 0.196 -0.0326151 -0.0655951 0.03298 5.51978e-05 0.0196679 0.0132569
197 0.197 -0.0326133 -0.0655932 0.0329799 5.56933e-05 0.0196668 0.0132574
198 0.198 -0.0326114 -0.0655912 0.0329798 5.619e-05 0.0196657 0.0132579
199 0.199 -0.0326096 -0.0655893 0.0329797 5.66879e-05 0.0196646 0.0132584
200 0.2 -0.0326078 -0.0655873 0.0329795 5.7187e-05 0.0196635 0.0132588
201 0.201 -0.0326059 -0.0655853 0.0329794 5.76872e-05 0.0196624 0.0132593
202 0.202 -0.0326041 -0.0655833 0.0329792 5.81886e-05 0.0196612 0.0132598
203 0.203 -0.0326023 -0.0655814 0.0329791 5.86911e-05 0.0196601 0.0132603
204 0.204 -0.0326005 -0.0655794 0.0329789 5.91946e-05 0.019659 0.0132607
205 0.205 -0.0325986 -0.0655774 0.0329787 5.96992e-05 0.0196578 0.0132612
206 0.206 -0.0325968 -0.0655754 0.0329786 6.02049e-05 0.0196567 0.0132617
207 0.207 -0.032595 -0.0655734 0.0329784 6.07117e-05 0.0196556 0.0132621
208 0.208 -0.0325931 -0.0655713 0.0329782 6.12194e-05 0.0196544 0.0132626
209 0.209 -0.0325913 -0.0655693 0.032978 6.17282e-05 0.0196532 0.013263
210 0.21 -0.0325895 -0.0655673 0.0329778 6.22379e-05 0.0196521 0.0132635
211 0.211 -0.0325877 -0.0655653 0.0329776 6.27486e-05 0.0196509 0.0132639
212 0.212 -0.0325858 -0.0655632 0.0329774 6.32603e-05 0.0196497 0.0132644
213 0.213 -0.032584 -0.0655612 0.0329772 6.37729e-05 0.0196486 0.0132648
214 0.214 -0.0325822 -0.0655591 0.0329769 6.42864e-05 0.0196474 0.0132653
215 0.215 -0.0325803 -0.0655571 0.0329767 6.48008e-05 0.0196462 0.0132657
216 0.216 -0.0325785 -0.065555 0.0329765 6.53161e-05 0.019645 0.0132662
217 0.217 -0.0325767 -0.0655529 0.0329762 6.58322e-05 0.0196438 0.0132666
218 0.218 -0.0325749 -0.0655508 0.032976 6.63492e-05 0.0196426 0.013267
219 0.219 -0.032573 -0.0655487 0.0329757 6.6867e-05 0.0196414 0.0132675
220 0.22 -0.0325712 -0.0655466 0.0329754 6.73856e-05 0.0196401 0.0132679
221 0.221 -0.0325694 -0.0655445 0.0329752 6.7905e-05 0.0196389 0.0132683
222 0.222 -0.0325676 -0.0655424 0.0329749 6.84252e-05 0.0196377 0.0132687
223 0.223 -0.0325657 -0.0655403 0.0329746 6.89461e-05 0.0196365 0.0132692
224 0.224 -0.0325639 -0.0655382 0.0329743 6.94678e-05 0.0196352 0.0132696
225 0.225 -0.0325621 -0.0655361 0.032974 6.99901e-05 0.019634 0.01327
226 0.226 -0.0325603 -0.0655339 0.0329737 7.05132e-05 0.0196327 0.0132704
227 0.227 -0.0325584 -0.0655318 0.0329733 7.10369e-05 0.0196315 0.0132708
228 0.228 -0.0325566 -0.0655296 0.032973 7.15613e-05 0.0196302 0.0132712
229 0.229 -0.0325548 -0.0655275 0.0329727 7.20864e-05 0.019629 0.0132716
230 0.23 -0.032553 -0.0655253 0.0329723 7.2612e-05 0.0196277 0.013272
231 0.231 -0.0325512 -0.0655232 0.032972 7.31383e-05 0.0196264 0.0132724
232 0.232 -0.0325493 -0.065521 0.0329716 7.36652e-05 0.0196251 0.0132728
233 0.233 -0.0325475 -0.0655188 0.0329713 7.41926e-05 0.0196239 0.0132732
234 0.234 -0.0325457 -0.0655166 0.0329709 7.47206e-05 0.0196226 0.0132736
235 0.235 -0.0325439 -0.0655144 0.0329705 7.52491e-05 0.0196213 0.013274
236 0.236 -0.0325421 -0.0655122 0.0329701 7.57781e-05 0.01962 0.0132744
237 0.237 -0.0325402 -0.06551 0.0329697 7.63076e-05 0.0196187 0.0132748
238 0.238 -0.0325384 -0.0655078 0.0329693 7.68376e-05 0.0196174 0.0132752
239 0.239 -0.0325366 -0.0655055 0.0329689 7.7368e-05 0.019616 0.0132755
240 0.24 -0.0325348 -0.0655033 0.0329685 7.78989e-05 0.0196147 0.0132759
241 0.241 -0.032533 -0.0655011 0.0329681 7.84302e-05 0.0196134 0.0132763
242 0.242 -0.0325311 -0.0654988 0.0329677 7.89619e-05 0.0196121 0.0132766
243 0.243 -0.0325293 -0.0654966 0.0329672 7.9494e-05 0.0196107 0.013277
244 0.244 -0.0325275 -0.0654943 0.0329668 8.00264e-05 0.0196094 0.0132774
245 0.245 -0.0325257 -0.065492 0.0329663 8.05592e-05 0.019608 0.0132777
246 0.246 -0.0325239 -0.0654897 0.0329659 8.10924e-05 0.0196067 0.0132781
247 0.247 -0.0325221 -0.0654875 0.0329654 8.16258e-05 0.0196053 0.0132784
248 0.248 -0.0325202 -0.0654852 0.0329649 8.21595e-05 0.019604 0.0132788
249 0.249 -0.0325184 -0.0654829 0.0329645 8.26935e-05 0.0196026 0.0132791
250 0.25 -0.0325166 -0.0654806 0.032964 8.32278e-05 0.0196012 0.0132795
251 0.251 -0.0325148 -0.0654782 0.0329635 8.37623e-05 0.0195999 0.0132798
252 0.252 -0.032513 -0.0654759 0.032963 8.4297e-05 0.0195985 0.0132802
253 0.253 -0.0325112 -0.0654736 0.0329624 8.48319e-05 0.0195971 0.0132805
254 0.254 -0.0325093 -0.0654713 0.0329619 8.5367e-05 0.0195957 0.0132809
255 0.255 -0.0325075 -0.0654689 0.0329614 8.59023e-05 0.0195943 0.0132812
256 0.256 -0.0325057 -0.0654666 0.0329608 8.64377e-05 0.0195929 0.0132815
257 0.257 -0.0325039 -0.0654642 0.0329603 8.69732e-05 0.0195915 0.0132818
258 0.258 -0.0325021 -0.0654618 0.0329597 8.75088e-05 0.0195901 0.0132822
259 0.259 -0.0325003 -0.0654595 0.0329592 8.80446e-05 0.0195887 0.0132825
260 0.26 -0.0324985 -0.0654571 0.0329586 8.85804e-05 0.0195872 0.0132828
261 0.261 -0.0324967 -0.0654547 0.032958 8.91162e-05 0.0195858 0.0132831
262 0.262 -0.0324948 -0.0654523 0.0329575 8.96521e-05 0.0195844 0.0132834
263 0.263 -0.032493 -0.0654499 0.0329569 9.0188e-05 0.0195829 0.0132837
264 0.264 -0.0324912 -0.0654475 0.0329563 9.07239e-05 0.0195815 0.013284
265 0.265 -0.0324894 -0.0654451 0.0329556 9.12598e-05 0.01958 0.0132843
266 0.266 -0.0324876 -0.0654426 0.032955 9.17957e-05 0.0195786 0.0132846
267 0.267 -0.0324858 -0.0654402 0.0329544 9.23314e-05 0.0195771 0.0132849
268 0.268 -0.032484 -0.0654377 0.0329538 9.28672e-05 0.0195757 0.0132852
269 0.269 -0.0324822 -0.0654353 0.0329531 9.34028e-05 0.0195742 0.0132855
270 0.27 -0.0324804 -0.0654328 0.0329525 9.39383e-05 0.0195727 0.0132858
271 0.271 -0.0324786 -0.0654304 0.0329518 9.44737e-05 0.0195712 0.0132861
272 0.272 -0.0324767 -0.0654279 0.0329511 9.50089e-05 0.0195698 0.0132864
273 0.273 -0.0324749 -0.0654254 0.0329505 9.5544e-05 0.0195683 0.0132867
274 0.274 -0.0324731 -0.0654229 0.0329498 9.60789e-05 0.0195668 0.0132869
